,Customer_Name,Similar_Name
779,csc,csc australia pty ltd
780,csc,csc berkeley heights
781,csc,csc c/o bath iron works
782,csc,csc comp sciences ltd (virgin)
783,csc,csc comp. sciences ltd c/o bae
784,csc,csc computer sciences
785,csc,csc computer sciences - croydon uk
786,csc,csc computer sciences -tw
787,csc,csc computer sciences b.v.
788,csc,csc computer sciences bv-nl
789,csc,csc computer sciences c/o internal
790,csc,csc computer sciences do brasil ltda
791,csc,csc computer sciences italia
792,csc,csc computer sciences limited
793,csc,csc computer sciences ltd
794,csc,csc computer sciences ltd sevenoaks
795,csc,csc computer sciences ltd uk
796,csc,csc computer sciences ltd-aylesford
797,csc,csc computer sciences ltd-kent
798,csc,csc computer sciences ltd-slough
799,csc,csc computer sciences sas
800,csc,csc computer sciences-luxembourg
801,csc,csc danmark a/s
802,csc,csc deutschland services gmbh
803,csc,csc deutschland solutions
804,csc,csc deutschland solutions roedelheim
805,csc,csc diageo
806,csc,csc government solutions llc
807,csc,"csc internal, adc data centre"
808,csc,csc israel
809,csc,csc ltd royal pavilion
810,csc,csc malaysia sdn bhd
811,csc,csc malaysia sdn bhd
812,csc,csc rio tinto
813,csc,csc sverige ab
814,csc,csc sverige ab (csc)
815,csc,csc switzerland
816,csc,"csc vietnam co., ltd"
817,csc,general dynamic electric boat corporation - csc
818,csc,world trade center health program c/o csc
819,csc,"computer sciences corporation - csc - bath, me"
820,csc,"computer sciences corporation - csc - chantilly, va"
821,csc,computer sciences corporation - csc - commercial - sterling va
822,csc,"computer sciences corporation - csc - ft. worth, tx"
823,csc,"computer sciences corporation - csc - south windsor, ct"
824,csc,csc
825,csc,csc - bhpb
826,csc,csc - il
827,csc,csc - maidstone data center weavering
828,csc,csc - netherlands
829,csc,csc - nps
830,csc,csc - raytheon
831,csc,csc - us gov't - doe
832,csc,csc / ats-lenexa
833,csc,csc / raytheon government
834,csc,csc aust pty ltd
835,csc,csc australia
836,csc,"csc australia - toowong, qld"
837,csc,csc australia pty limited
838,csc,csc australia pty ltd
839,csc,csc australia pty ltd
840,csc,csc berkeley heights
841,csc,csc c/o bath iron works
842,csc,csc comp sciences ltd (virgin)
843,csc,csc comp. sciences ltd c/o bae
844,csc,csc computer sciences
845,csc,csc computer sciences - croydon uk
846,csc,csc computer sciences -tw
847,csc,csc computer sciences b.v.
848,csc,csc computer sciences bv-nl
